"locationTags.href","locationTags.text"
"https://www.tripadvisor.in/Attraction_Review-g816969-d1751637-Reviews-Agonda_Beach-Agonda_Goa.html","Agonda Beach"
"https://www.tripadvisor.in/Attraction_Review-g306996-d482982-Reviews-Palolem_Beach-Canacona_Goa.html","Palolem Beach"
"https://www.tripadvisor.in/Attraction_Review-g1010240-d1723866-Reviews-Mandrem_Beach-Mandrem_Goa.html","Mandrem Beach"
"https://www.tripadvisor.in/Attraction_Review-g775971-d1751661-Reviews-Cavelossim_Beach-Cavelossim_Goa.html","Cavelossim Beach"
"https://www.tripadvisor.in/Attraction_Review-g1096236-d2665593-Reviews-Varca_Beach-Varca_Goa.html","Varca Beach"
"https://www.tripadvisor.in/Attraction_Review-g306994-d2523894-Reviews-Benaulim_Beach-Benaulim_Salcette_District_Goa.html","Benaulim Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d320663-Reviews-Basilica_of_Bom_Jesus-Panaji_Goa.html","Basilica of Bom Jesus"
"https://www.tripadvisor.in/Attraction_Review-g2307943-d482978-Reviews-Arambol_Beach-Arambol_Goa.html","Arambol Beach"
"https://www.tripadvisor.in/Attraction_Review-g1204863-d1063236-Reviews-Utorda_Beach-Utorda_Goa.html","Utorda Beach"
"https://www.tripadvisor.in/Attraction_Review-g297604-d3187540-Reviews-Dudhsagar_Falls-Goa.html","Dudhsagar Falls"
"https://www.tripadvisor.in/Attraction_Review-g1015400-d1230998-Reviews-Morjim-Pernem_Goa.html","Morjim"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2721491-Reviews-Ashwem_Beach-Panaji_Goa.html","Ashwem Beach"
"https://www.tripadvisor.in/Attraction_Review-g306996-d1961535-Reviews-Cola_Beach-Canacona_Goa.html","Cola Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d320659-Reviews-Old_Goa-Panaji_Goa.html","Old Goa"
"https://www.tripadvisor.in/Attraction_Review-g306993-d951184-Reviews-Candolim_Beach-Bardez_Goa.html","Candolim Beach"
"https://www.tripadvisor.in/Attraction_Review-g306993-d1065278-Reviews-Vagator_Beach-Bardez_Goa.html","Vagator Beach"
"https://www.tripadvisor.in/Attraction_Review-g1199433-d2463201-Reviews-Majorda_Beach-Majorda_Goa.html","Majorda Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d320664-Reviews-Tomb_of_St_Francis_Xavier-Panaji_Goa.html","Tomb of St. Francis Xavier"
"https://www.tripadvisor.in/Attraction_Review-g306995-d2697362-Reviews-Baga_Beach-Calangute_Goa.html","Baga Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d320654-Reviews-Church_of_Our_Lady_of_the_Immaculate_Conception-Panaji_Goa.html","Church of Our Lady of the Immaculate Conception"
"https://www.tripadvisor.in/Attraction_Review-g303877-d320660-Reviews-Se_Cathedral-Panaji_Goa.html","Se Cathedral"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3705417-Reviews-Shantadurga_Temple-Panaji_Goa.html","Shantadurga Temple"
"https://www.tripadvisor.in/Attraction_Review-g2531348-d2345653-Reviews-Chapora_Fort-Chapora_Goa.html","Chapora Fort"
"https://www.tripadvisor.in/Attraction_Review-g1165042-d3879393-Reviews-Sinquerim_Beach-Sinquerim_Goa.html","Sinquerim Beach"
"https://www.tripadvisor.in/Attraction_Review-g635747-d554820-Reviews-Baga_Beach-Baga_Goa.html","Baga Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3608775-Reviews-Reis_Magos_Fort-Panaji_Goa.html","Reis Magos Fort"
"https://www.tripadvisor.in/Attraction_Review-g1064392-d2306590-Reviews-Colva_Beach-Colva_Goa.html","Colva Beach"
"https://www.tripadvisor.in/Attraction_Review-g306995-d4138933-Reviews-St_Alex_Church-Calangute_Goa.html","St. Alex Church"
"https://www.tripadvisor.in/Attraction_Review-g1165042-d1471459-Reviews-Fort_Aguada-Sinquerim_Goa.html","Fort Aguada"
"https://www.tripadvisor.in/Attraction_Review-g306992-d319879-Reviews-Anjuna_Market-Anjuna_Bardez_Goa.html","Anjuna Market"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c26-t144-Goa.html","Gift & Speciality Shops (61)"
"https://www.tripadvisor.in/Attraction_Review-g303877-d4742920-Reviews-Deltin_Royale_Casino-Panaji_Goa.html","Deltin Royale Casino"
